epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.544,1.10891,1.93095,1.20197,0.96717,0.96223,0.98673,0.67741,1.07955,1.83242,1.13791,0.000659004,0.000659004,0.000659004
2,29.3366,1.07416,1.16462,1.1518,0.84202,0.84368,0.88957,0.5234,1.3203,1.29529,1.29613,0.00131255,0.00131255,0.00131255
3,43.223,1.06594,0.95221,1.16335,0.97517,0.96231,0.98927,0.58527,1.41817,0.96629,1.36014,0.00195289,0.00195289,0.00195289
4,56.636,1.0673,0.81549,1.16063,0.93707,0.89792,0.94918,0.65303,1.05852,0.80323,1.12535,0.0019406,0.0019406,0.0019406
5,69.4972,1.01027,0.70327,1.12729,0.99365,0.96734,0.98526,0.74512,0.89854,0.54641,1.02561,0.0019208,0.0019208,0.0019208
6,82.4432,1.00453,0.68902,1.14427,0.74799,0.8392,0.84329,0.59432,1.09138,2.13838,1.12365,0.001901,0.001901,0.001901
7,95.1702,1.00263,0.64097,1.13116,0.98887,0.98492,0.99044,0.72864,0.93288,0.49114,1.05587,0.0018812,0.0018812,0.0018812
8,107.94,0.95539,0.59597,1.10606,0.98589,0.97739,0.99131,0.72407,0.9706,0.64677,1.07239,0.0018614,0.0018614,0.0018614
9,120.781,0.94753,0.57486,1.10592,0.97257,0.97487,0.99262,0.75288,0.90051,0.46745,1.01455,0.0018416,0.0018416,0.0018416
10,133.726,0.93573,0.55759,1.10177,0.98747,0.98977,0.99422,0.77228,0.83927,0.45755,0.98678,0.0018218,0.0018218,0.0018218
11,147.275,0.9151,0.54729,1.09333,0.982,0.95938,0.99073,0.7421,0.92286,0.4955,1.03141,0.001802,0.001802,0.001802
12,160.011,0.92372,0.52712,1.09484,0.9899,0.98503,0.99246,0.75701,0.91056,0.43712,1.02315,0.0017822,0.0017822,0.0017822
13,172.774,0.905,0.50633,1.07958,0.98993,0.98763,0.99274,0.7786,0.81861,0.41517,0.9867,0.0017624,0.0017624,0.0017624
14,185.484,0.89169,0.50574,1.07999,0.98979,0.97408,0.99325,0.78054,0.83658,0.43791,0.99997,0.0017426,0.0017426,0.0017426
15,197.997,0.90414,0.50614,1.08318,0.98715,0.99749,0.99287,0.77679,0.82278,0.40736,0.98847,0.0017228,0.0017228,0.0017228
16,210.438,0.88686,0.5053,1.07891,0.9873,0.97636,0.99337,0.75464,0.90575,0.44659,1.01733,0.001703,0.001703,0.001703
17,223.36,0.90624,0.49938,1.09604,0.9923,0.99246,0.99492,0.78805,0.83277,0.41097,0.98665,0.0016832,0.0016832,0.0016832
18,236.394,0.88336,0.49778,1.07922,0.9896,0.98995,0.99334,0.79654,0.80303,0.3826,0.98015,0.0016634,0.0016634,0.0016634
19,249.214,0.87101,0.4808,1.06478,0.99471,0.99246,0.99272,0.78,0.83061,0.39275,0.9895,0.0016436,0.0016436,0.0016436
20,262.03,0.87312,0.47743,1.07283,0.99248,0.99469,0.99262,0.78233,0.83215,0.39042,0.9839,0.0016238,0.0016238,0.0016238
21,274.84,0.87622,0.4697,1.07009,0.992,0.98744,0.9947,0.777,0.84929,0.40539,1.0047,0.001604,0.001604,0.001604
22,287.458,0.86012,0.4635,1.06237,0.98997,0.99169,0.99485,0.79722,0.81365,0.37405,0.96476,0.0015842,0.0015842,0.0015842
23,299.94,0.84482,0.47292,1.05763,0.9825,0.98736,0.99222,0.79419,0.83178,0.39346,0.99662,0.0015644,0.0015644,0.0015644
24,312.448,0.83941,0.44819,1.05441,0.99669,0.99497,0.99492,0.80038,0.82509,0.37217,0.97649,0.0015446,0.0015446,0.0015446
25,325.158,0.82879,0.44525,1.05566,0.99249,0.99557,0.99236,0.78237,0.82725,0.38981,0.99446,0.0015248,0.0015248,0.0015248
26,337.676,0.83803,0.44043,1.05467,0.99207,0.99246,0.99454,0.77512,0.83691,0.36647,0.98586,0.001505,0.001505,0.001505
27,350.359,0.83838,0.44324,1.05531,0.99497,0.99474,0.9933,0.78963,0.8411,0.3963,0.99325,0.0014852,0.0014852,0.0014852
28,362.86,0.83081,0.44706,1.057,0.99248,0.99434,0.99485,0.77423,0.82846,0.40071,0.98776,0.0014654,0.0014654,0.0014654
29,375.32,0.84586,0.44033,1.05644,0.99196,0.98995,0.99243,0.79988,0.80448,0.35944,0.97033,0.0014456,0.0014456,0.0014456
30,387.664,0.83552,0.43285,1.04605,0.99457,0.99497,0.99497,0.7982,0.79776,0.35261,0.96841,0.0014258,0.0014258,0.0014258
31,400.006,0.81917,0.42277,1.05309,0.97753,0.98744,0.99176,0.77789,0.82192,0.37651,0.9883,0.001406,0.001406,0.001406
32,412.33,0.80094,0.4173,1.03991,0.99657,0.99749,0.99251,0.80948,0.77788,0.34869,0.96449,0.0013862,0.0013862,0.0013862
33,424.718,0.8022,0.41956,1.03971,0.99639,0.99497,0.99258,0.80808,0.78817,0.37661,0.98995,0.0013664,0.0013664,0.0013664
34,437.1,0.80726,0.42165,1.05341,0.99497,0.99481,0.99255,0.81824,0.76113,0.32864,0.95156,0.0013466,0.0013466,0.0013466
35,449.678,0.79192,0.41379,1.02948,0.99499,0.99724,0.9944,0.80966,0.78913,0.35749,0.96152,0.0013268,0.0013268,0.0013268
36,462.27,0.80836,0.41839,1.03112,0.9945,0.99497,0.99285,0.80304,0.79273,0.34672,0.96536,0.001307,0.001307,0.001307
37,474.766,0.80134,0.41096,1.04028,0.99496,0.99182,0.99495,0.80193,0.79647,0.34612,0.96725,0.0012872,0.0012872,0.0012872
38,487.241,0.7898,0.40187,1.03246,0.99322,0.98995,0.99192,0.80836,0.78292,0.34071,0.96382,0.0012674,0.0012674,0.0012674
39,499.837,0.78745,0.40317,1.02063,0.99485,0.99749,0.99246,0.79922,0.78749,0.33874,0.95485,0.0012476,0.0012476,0.0012476
40,512.34,0.78861,0.39888,1.03065,0.99651,0.99749,0.99276,0.78868,0.79646,0.33021,0.95934,0.0012278,0.0012278,0.0012278
41,524.854,0.77888,0.40045,1.03131,0.99319,0.99497,0.99492,0.79831,0.78496,0.33337,0.95949,0.001208,0.001208,0.001208
42,537.395,0.81021,0.40786,1.04646,0.99479,0.99749,0.9925,0.80955,0.78412,0.35586,0.96719,0.0011882,0.0011882,0.0011882
43,550.174,0.76499,0.38838,1.01957,0.99723,0.99749,0.99274,0.82242,0.75017,0.3174,0.95386,0.0011684,0.0011684,0.0011684
